Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Martin Feick (DFKI SI,Niko Kleer (DFKI SI,André Zenner (Saarland University & DFKI SI,of Toronto) AT,Antonio Krüger (DFKI SI",Visuo-haptic Illusions for Linear Translation and Stretching using Physical Proxies in Virtual Reality,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445456,10.1145/3411764.3445456,"Providing haptic feedback when manipulating virtual objects is an essential part of immersive virtual reality experiences; however, it is challenging to replicate all of an object’s properties and characteristics. We propose the use of visuo-haptic illusions alongside physical proxies to enhance the scope of proxy-based interactions with virtual objects. In this work, we focus on two manipulation techniques, linear translation and stretching across different distances, and investigate how much discrepancy between the physical proxy and the virtual object may be introduced without participants noticing. In a study with 24 participants, we found that manipulation technique and travel distance significantly affect the detection thresholds, and that visuo-haptic illusions impact performance and accuracy. We show that this technique can be used to enable functional proxy objects that act as stand-ins for multiple virtual objects, illustrating the technique through a showcase VR-DJ application."
"& Dfki) AZ,& Dfki) HM,& Dfki) AK",HaRT - The Virtual Reality Hand Redirection Toolkit,2021,ACM,2021,http://dx.doi.org/0.1145/3411763.3451814,0.1145/3411763.3451814,"Past research has proposed various hand redirection techniques for virtual reality (VR). Such techniques modify a user's hand movements and have been successfully used to enhance haptics and 3D user interfaces. Up to now, however, no unified framework exists that implements previously proposed techniques such as body warping, world warping, and hybrid methods. In this work, we present the Virtual Reality Hand Redirection Toolkit (HaRT), an open-source framework developed for the Unity engine. The toolkit aims to support both novice and expert VR researchers and practitioners in implementing and evaluating hand redirection techniques. It provides implementations of popular redirection algorithms and exposes a modular class hierarchy for easy integration of new approaches. Moreover, simulation, logging, and visualization features allow users of the toolkit to analyze hand redirection setups with minimal technical effort. We present the architecture of the toolkit along with the results of a qualitative expert study."
"Philip Weber (Cyber-Physical Systems Uof,Thomas Ludwig (Cyber-Physical Systems Uof,Sabrina Brodesser (Cyber-Physical Systems Uof,Laura Grönewald (Cyber-Physical Systems Uof",“It's a kind of art!”: Understanding Food Influencers as Influential Content Creators,2021,ACM,2021,https://cps.wineme.fb5.uni-siegen.de/;http://dx.doi.org/10.1145/3411764.3445607,10.1145/3411764.3445607,"Although the number of influencers is increasing and being an influencer is one of the most frequently mentioned career aspirations of young people, we still know very little about influencers’ motivations and actual practices from the HCI perspective. Driven by the emerging field of Human-Food Interaction and novel phenomena on social media such as Finstas, ASMR, Mukbang and live streaming, we would like to highlight the significance of food influencers as influential content creators and their social media practices. We have conducted a qualitative interview study and analyzed over 1,500 posts of food content creators on Instagram, focusing on practices of content creation, photography, staging, posting, and use of technology. Based on our findings, we have derived a process model that outlines the practices of this rather small, but influential user group. We contribute to the field of HCI by outlining the practices of food influencers as influential content creators within the social media sphere to open up design spaces for interaction researchers and practitioners."
"Weizhou Luo (Interactive Media Lab Dresden TU,Anke Lehmann (Interactive Media Lab Dresden TU,Yushan Yang (Interactive Media Lab Dresden TU,Raimund Dachselt (Interactive Media Lab Dresden TU",Investigating Document Layout and Placement Strategies for Collaborative Sensemaking in Augmented Reality,2021,,2021,http://dx.doi.org/10.1145/3411763.3451588,10.1145/3411763.3451588,"Augmented Reality (AR) has the potential to revolutionize our workspaces, since it considerably extends the limits of current displays while keeping users aware of their collaborators and surroundings. Collective activities like brainstorming and sensemaking often use space for arranging documents and information and thus will likely benefit from AR-enhanced offices. Until now, there has been very little research on how the physical surroundings might affect virtual content placement for collaborative sensemaking. We therefore conducted an initial study with eight participants in which we compared two different room settings for collaborative image categorization regarding content placement, spatiality, and layout. We found that participants tend to utilize the room's vertical surfaces as well as the room's furniture, particularly through edges and gaps, for placement and organization. We also identified three different spatial layout patterns (panoramic-strip, semi-cylindrical layout, furniture-based distribution) and observed the usage of temporary storage spaces specifically for collaboration."
"Siegen) MK,Siegen) AW,de Castro Leal (Universität Siegen) D,Siegen) DR,Siegen) VW",It Takes More Than One Hand to Clap: On the Role of ‘Care’ in Maintaining Design Results,2021,,2021,http://dx.doi.org/10.1145/3411764.3445389,10.1145/3411764.3445389,"Within Participatory- and Co-Design projects, the issue of sustainability and maintenance of the co-designed artefacts is a crucial yet largely unresolved issue. In this paper, we look back on four years of work on co-designing tools that assist refugees and migrants in their efforts to settle in Germany, the last of which the project has been independently maintained by our community collaborators. We reflect on the role of pre-existing care practices amongst our community collaborators, and a continued openness throughout the project, that allowed a complex constellation of actors to be involved in its ongoing maintenance and our own, often mundane activities which have contributed to the sustainability of the results. Situating our account within an HCI for Social Justice agenda, we thereby contribute to an ongoing discussion about the sustainability of such activities."
"of Siegen) MM,of Siegen) SR,of Siegen) KA,University) NB,Shaimaa Lazem (City of Scientifc Research TA,of Science AP,Technology) SH,University) VV,of Sussex) AL,of Siegen) DR,of Siegen) VW","Coping with Messiness in Ethnography: Authority, Bias and Immersion in ethnographic Fieldwork in the non-Western World",2021,,2021,http://dx.doi.org/10.1145/3411763.3441328,10.1145/3411763.3441328,"Ethnography has frmly established its position in the Human-Computer Interaction (HCI) community. Many studies have benefted from following ethnographic approaches to arrive at a grounded and comprehensive understanding of the respective research context. Applying that to the non-Western world, however, comes with challenges for researchers. Aside from ethical concerns which have been addressed in the past, we want to use this workshop to foster conversations and discussions on authority, bias and immersion when conducting ethnographic feld work in the non-Western world – especially as a Western researcher. The main objective of this workshop is to exchange experiences and to identify common aspects and ways of overcoming, coping with or even embracing the messiness in ethnographic work and derive guidelines based on these discussions."
"David Struzek (University of Siegen Information Systems/IT for the ageing society G,Katerina Cerna University of Siegen Information Systems/IT for the ageing society G,Richard Paluch University of Siegen Information Systems/IT for the ageing society G,Arlind Reuter (Open Lab Newcastle University UK,Lydia Stamato (Department of Information Systems at the University of Maryland Baltimore County US,of Social Sciences ÖS,John Vines (University of Edinburgh UK",Designing for New Forms of Vulnerability: Exploring transformation and empowerment in times of COVID-19,2021,,2021,http://dx.doi.org/10.1145/3411763.3441339,10.1145/3411763.3441339,"Our workshop will concentrate on vulnerability of specific social groups due to various reasons, including COVID-19, and the potential for technology design to result in empowerment. We want to address issues of what new forms of vulnerabilities emerge and how we can design digital environments in a way that acknowledges vulnerability but also has the potential to empower people in ways that are meaningful for them. When planning the workshop, we will also reflect on social situations that can result in vulnerabilities for participants. Therefore, we will ensure that interested participants will experience low barriers to participation include a variety of people with different backgrounds and ensure that interaction happens based on equality principles and in an atmosphere of solidarity. Participants can exchange ideas and thoughts without worrying about being exposed to biased assumptions. The workshop will allow for non-hierarchical and cooperative discussion and collaboration through interactive online exercises, resulting in a collaboratively developed zine. Finally, the social sustainability of the workshop will be ensured through a website, mailing lists, joint publications and continuous contact."
"Munich) CS,Munich) DI,Munich) FB,of Bayreuth) DB",LYLO – Exploring Disclosed Configurations for Inter-Personal Location Sharing,2021,,2021,http://dx.doi.org/10.1145/3411763.3451652,10.1145/3411763.3451652,"Continuous location sharing (CLS) can foster intimacy, for example, for couples in long-distance relationships. However, turning off CLS can then raise suspicions. To address this, we developed nuanced sharing settings in a focus group (N = 6) and implemented them to moderate CLS in an Android app. Crucially, the app also discloses each person's current sharing settings to the partner. In a 16-day field study, four couples interacted with our app and the disclosed configurations, confirming the disclosure's positive effect on transparency. However, features obfuscating the location were considered superfluous, as participants preferred sharing their location exactly or not at all. While participants overall appreciated having the configuration options, changes in their partners’ configurations raised questions about their motivations. Instead, participants would adjust the configuration for different intimacy levels (colleague vs. partner) rather than different activities when using CLS with the same person."
"University) KS,University) JM,University) JB,Jim Hollan (University of California SD",From Detectables to Inspectables: Understanding Qualitative Analysis of Audiovisual Data,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445458​,10.1145/3411764.3445458​,"Audiovisual recordings of user studies and interviews provide important data in qualitative HCI research. Even when a textual transcription is available, researchers frequently turn to these recordings due to their rich information content. However, the temporal, unstructured nature of audiovisual recordings makes them less efficient to work with than text. Through interviews and a survey, we explored how HCI researchers work with audiovisual recordings. We investigated researchers' transcription and annotation practice, their overall analysis workflow, and the prevalence of direct analysis of audiovisual recordings. We found that a key task was locating and analyzing inspectables, interesting segments in recordings. Since locating inspectables can be time consuming, participants look for detectables, visual or auditory cues that indicate the presence of an inspectable. Based on our findings, we discuss the potential for automation in locating detectables in qualitative audiovisual analysis."
"Leon Müller (LMU Munich G,Munich) KP,- LTCI Institut JG,Polytechnique de Paris Paris F,Bastian Pfleging (Eindhoven University of Technology Eindhoven N,LMU Munich Munich G,Sarah Prange (Bundeswehr University Munich Munich G,LMU Munich Munich G,Florian Alt (Bundeswehr University Munich Munich G",SpatialProto: Exploring Real-World Motion Captures for Rapid Prototyping of Interactive Mixed Reality,2021,ACM,2021,http://dx.doi.org/10.1145/3411764.3445560,10.1145/3411764.3445560,"Spatial computing devices that blend virtual and real worlds have the potential to soon become ubiquitous. Yet, creating experiences for spatial computing is non-trivial and needs skills in programming and 3D content creation, rendering them inaccessible to a wider group of users. We present SpatialProto, an in-situ spatial prototyping system for lowering the barrier to engage in spatial prototyping. With a depth-sensing capable mixed reality headset, SpatialProto lets users record animated objects of the real-world environment (e.g. paper, clay, people, or any other prop), extract only the relevant parts, and directly place and transform these recordings in their physical environment. We describe the design and implementation of SpatialProto, a user study evaluating the system's prototype with non-expert users (n = 9), and demonstrate applications where multiple captures are fused for compelling augmented reality experiences."
