"Item type","Authors","Title","Publication year","Publisher","Date published","Date accessed","URLs","DOI","Abstract","Keywords","Notes","Status","Series"
"Conference Paper","of Technology) AH,of Bamberg) FN,of Technology) AP,of Bamberg) DH,of Technology) PM","Standing out among the daily spam: How to catch website owners' attention by means of vulnerability notifications","2022","ACM","2022","2022-05-01","http://dx.doi.org/10.1145/3491101.3519847","10.1145/3491101.3519847","Running a business without having a website is nearly impossible nowadays. Most business owners use content managements systems to manage their websites. Yet, those can pose security risks and provide vulnerabilities for manipulations. With vulnerability notifications, website owners are notified about security risks. To identify common themes with respect to vulnerability notifications and provide deeper insight into the motivations of website owners to react to those notifications, we conducted 25 semi-structured interviews. In compliance with previous research, we could confirm that distrust in unexpected notifications is high and, in contrast to previous research, we suggest that verification possibilities are the most important factors to establish trust in notifications. We also endorse the findings that raising awareness for the severity and the complexity of the problems is crucial to increase remediation rates.","Late Breaking Work","","published","ACM CHI"
"Conference Paper","(kit) ML,(kit) PT,(kit) AM","EyeMeet: A Joint Attention Support System for Remote Meetings","2022","ACM","2022","","http://dx.doi.org/10.1145/3491101.3519792","10.1145/3491101.3519792","A major challenge in remote meetings is that awareness cues, such as gaze, become degraded despite playing a crucial role in communication and establishing joint attention. Eye tracking allows overcoming these obstacles by enabling augmentation of remote meetings with gaze information. In this project, we followed a participatory approach by first distributing a scenario-based survey to students (n=79) to uncover their preference of eye-based joint attention support (real-time, retrospective, real-time & retrospective, no) for remote university meetings. Building on these findings, we developed EyeMeet, an eye-based joint attention support system that combines state-of-the-art real-time joint attention support with a retrospective attention feedback for remote meetings. In a four-week study, two student groups worked remotely on course assignments using EyeMeet. Our findings of the study highlight that EyeMeets supports students in staying more focused on the meetings. Complementing real-time joint attention support, retrospective joint attention feedback is recognized to provide valuable support for reflecting and adapting behavior for upcoming meetings.","Late Breaking Work","","published",""
"Conference Paper","(kit) MR,(cmu) BM,(kit) AM","ONYX - User Interfaces for Assisting in Interactive Task Learning for Natural Language Interfaces of Data Visualization Tools","2022","ACM","2022","","http://dx.doi.org/10.1145/3491101.3519793","10.1145/3491101.3519793","While natural language interfaces (NLIs) are increasingly utilized to simplify the interaction with data visualization tools, improving and adapting the NLIs to the individual needs of users still requires the support of developers. ONYX introduces an interactive task learning (ITL) based approach which enables NLIs to learn from users through natural interactions. Users can personalize the NLI with new commands using direct manipulation, known commands, or by combining both. To further support users during the training process, we derived two design goals for the user interface, namely providing suggestions based on sub-parts of the command and addressing ambiguities through follow-up questions and instantiated them in ONYX. In order to trigger reflections and gain feedback on possible design trade-offs of ONYX and the instantiated design goals, we performed a formative user study to understand how to successfully integrate the suggestions and follow-up question into the interaction.","Late Breaking Work","","published",""
"Conference Paper","University) AS,University) JS","Next Steps in Epidermal Computing: Opportunities and Challenges for Soft On-Skin Devices","2022","ACM","2022","2022-04-30","http://dx.doi.org/10.1145/3491102.3517668","10.1145/3491102.3517668","Skin is a promising interaction medium and has been widely explored for mobile, and expressive interaction. Recent research in HCI has seen the development of Epidermal Computing Devices: ultra-thin and non-invasive devices which reside on the user's skin, offering intimate integration with the curved surfaces of the body, while having physical and mechanical properties that are akin to skin, expanding the horizon of on-body interaction. However, with rapid technological advancements in multiple disciplines, we see a need to synthesize the main open research questions and opportunities for the HCI community to advance future research in this area. By systematically analyzing Epidermal Devices contributed in the HCI community, physical sciences research and from our experiences in designing and building Epidermal Devices, we identify opportunities and challenges for advancing research across five themes. This multi-disciplinary synthesis enables multiple research communities to facilitate progression towards more coordinated endeavors for advancing Epidermal Computing.","Full Paper","","published",""
"Conference Paper","Darmstadt) SG,München) JR,Darmstadt) DS,München) FM,Darmstadt) MS,Darmstadt) JR,Darmstadt) AM,München) MM","Smooth as Steel Wool: Effects of Visual Stimuli on the Haptic Perception of Roughness in Virtual Reality","2022","ACM","2022","2022-04-30","http://dx.doi.org/10.1145/3491102.3517454","10.1145/3491102.3517454","""Haptic Feedback is essential for lifelike Virtual Reality (VR) experiences. To provide a wide range of matching sensations of being touched or stroked, current approaches typically need large numbers of different physical textures. However, even advanced devices can only accommodate a limited number of textures to remain wearable. Therefore, a better understanding is necessary of how expectations elicited by different visualizations affect haptic perception, to achieve a balance between physical constraints and great variety of matching physical textures. In this work, we conducted an experiment (N=31) assessing how the perception of roughness is affected within VR. We designed a prototype for arm stroking and compared the effects of different visualizations on the perception of physical textures with distinct roughnesses. Additionally, we used the visualizations' real-world materials, no-haptics and vibrotactile feedback as baselines. As one result, we found that two levels of roughness can be sufficient to convey a realistic illusion.""","Full Paper","","published",""
"Conference Paper","Thomas Muender (Digital Media Lab Uof,Anke Reinschluessel (Digital Media Lab Uof,Daniela Salzmann (University Hospital for Visceral Surgery Carl von Ossietzky University of Oldenburg PH,(cirp GmbH) TL,for Digital Medicine MEVIS) AS,Dirk Weyhe (University Hospital for Visceral Surgery Carl von Ossietzky University of Oldenburg PH,Tanja Döring (Digital Media Lab Uof,Rainer Malaka (Digital Media Lab Uof","Evaluating Soft Organ-Shaped Tangibles for Medical Virtual Reality","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491101.3519715","10.1145/3491101.3519715","Connecting digital information with the physical is one of the essential ideas of tangible user interfaces. The design of the physical representation is important especially for specialised domains like surgery planning, because surgeons rely heavily on their tactile senses. Therefore, this research work investigates the effect of a soft and a hard 3D model as an interaction device for virtual reality surgical planning. A user study with 13 surgeons reveals a clear preference for the softer, more realistic material and a significantly higher haptic user experience for the soft model compared to the hard one. These results advocate for stressing material aspects along with the interaction design in domains with an inherently high focus on tactile aspects.","Late Breaking Work","","published",""
"Conference Paper","Weizhou Luo (Interactive Media Lab Dresden TU,Anke Lehmann (Interactive Media Lab Dresden TU,Hjalmar Widengren (Interactive Media Lab Dresden TU","Where Should We Put It? Layout and Placement Strategies of Documents in Augmented Reality for Collaborative Sensemaking","2022","","2022","2022-04-30","http://dx.doi.org/10.1145/3491102.3501946","10.1145/3491102.3501946","Future offices are likely reshaped by Augmented Reality (AR) extending the display space while maintaining awareness of surroundings, and thus promise to support collaborative tasks such as brainstorming or sensemaking. However, it is unclear how physical surroundings and co-located collaboration influence the spatial organization of virtual content for sensemaking.Therefore, we conducted a study (N=28) to investigate the effect of office environments and work styles during a document classification task using AR with regard to content placement, layout strategies, and sensemaking workflows. Results show that participants require furniture, especially tables and whiteboards, to assist sensemaking and collaboration regardless of room settings, while generous free spaces (e.g., walls) are likely used when available. Moreover, collaborating participants tend to use furniture despite personal layout preferences. We identified different placement and layout strategies, as well as the transitions in-between. Finally, we propose design implications for future immersive sensemaking applications and beyond.","Full Paper","","published",""
"Conference Paper","Marie Laure Zollinger (University of Luxembourg Esch-sur-Alzette L,Peter B. Roenne (University of Luxembourg Esch-sur-Alzette L,Peter Y. A. Ryan (University of Luxembourg Esch-sur-Alzette L,Tim Grube (Technical University of Darmstadt Darmstadt G","Investigating Usability and User Experience of Individually Verifiable Internet Voting Schemes","2022","","2022","","http://dx.doi.org/10.1145/3459604","10.1145/3459604","Internet voting can afford more inclusive and inexpensive elections. The flip side is that the integrity of the election can be compromised by adversarial attacks and malfunctioning voting infrastructure. Individual verifiability aims to protect against such risks by letting voters verify that their votes are correctly registered in the electronic ballot box. Therefore, voters need to carry out additional tasks making human factors crucial for security. In this article, we establish a categorization of individually verifiable Internet voting schemes based on voter interactions. For each category in our proposed categorization, we evaluate a voting scheme in a user study with a total of 100 participants. In our study, we assessed usability, user experience, trust, and further qualitative data to gain deeper insights into voting schemes. Based on our results, we conclude with recommendations for developers and policymakers to inform the choices and design of individually verifiable Internet voting schemes.","Journal","","published",""
"Conference Paper","Keunwoo Park (Hasso Plattner Institute Potsdam G,Conrad Lempert (Hasso Plattner Institute Potsdam G,Muhammad Abdullah (Hasso Plattner Institute Potsdam G,Shohei Katakura (Hasso Plattner Institute Potsdam G,Jotaro Shigeyama (Hasso Plattner Institute Potsdam G,Thijs Roumen (Hasso Plattner Institute Potsdam G,Patrick Baudisch (Hasso Plattner Institute Potsdam G","FoolProofJoint: Reducing Assembly Errors of Laser Cut 3D Models by Means of Custom Joint Patterns","2022","","2022","","http://dx.doi.org/10.1145/3491102.3501919","10.1145/3491102.3501919","We present FoolProofJoint, a software tool that simplifies the assembly of laser-cut 3D models and reduces the risk of erroneous assembly. FoolProofJoint achieves this by modifying finger joint patterns. Wherever possible, FoolProofJoint makes similar looking pieces fully interchangeable, thereby speeding up the user’s visual search for a matching piece. When that is not possible, FoolProofJoint gives finger joints a unique pattern of individual fingers widths so as to fit only with the correct joint on the correct piece, thereby preventing erroneous assembly. In our benchmark set of 217 laser-cut 3D models downloaded from kyub.com, FoolProofJoint made groups of similar looking pieces fully interchangeable for 65% of all groups of similar pieces; FoolProofJoint fully prevented assembly mistakes for 97% of all models.","Full Paper","","published",""
"Conference Paper","Dresden) SE,Dresden) KK,Dresden) AP,Dresden) RD","STRAIDE: A Research Platform for Shape-Changing Spatial Displays based on Actuated Strings","2022","","2022","","http://dx.doi.org/10.1145/3491102.3517462","10.1145/3491102.3517462","We present STRAIDE, a string-actuated interactive display environment that allows to explore the promising potential of shape-changing interfaces for casual visualizations. At the core, we envision a platform that spatially levitates elements to create dynamic visual shapes in space. We conceptualize this type of tangible mid-air display and discuss its multifaceted design dimensions. Through a design exploration, we realize a physical research platform with adjustable parameters and modular components. For conveniently designing and implementing novel applications, we provide developer tools ranging from graphical emulators to in-situ augmented reality representations. To demonstrate STRAIDE's reconfigurability, we further introduce three representative physical setups as a basis for situated applications including ambient notifications, personal smart home controls, and entertainment. They serve as a technical validation, lay the foundations for a discussion with developers that provided valuable insights, and encourage ideas for future usage of this type of appealing interactive installation.","Full Paper","","published",""
